G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
68,48,31.5,3.9,9.8,0.403,3.1,3.9,0.78,4.1,5.2,1.4,0.1,3.3,2.4,11.9,Kenny Satterfield,1.0,3.0,0.323,3.0,6.8,0.437,0.452,1.0,3.0
123,119,32.0,5.4,10.1,0.537,4.3,5.9,0.74,8.4,2.1,0.9,1.9,2.9,3.1,15.7,Kenny Thomas,0.5,1.5,0.353,4.9,8.6,0.569,0.563,2.7,5.7
102.0,85.0,32.2,4.1,8.4,0.484,1.9,3.0,0.625,8.6,2.7,1.4,0.7,1.4,2.5,11.0,Kenrich Williams,1.0,2.6,0.375,3.1,5.8,0.533,0.542,3.0,5.6
140,103,26.3,3.7,8.3,0.447,2.0,3.5,0.581,4.6,2.7,1.8,0.5,2.3,2.2,10.1,Kent Bazemore,0.7,2.1,0.334,3.0,6.1,0.486,0.49,1.4,3.2
64,60,33.0,5.3,12.7,0.415,2.9,3.9,0.752,6.1,1.5,1.9,0.4,1.6,2.2,15.8,Kentavious Caldwell-pope,2.3,6.9,0.339,3.0,5.9,0.504,0.507,1.3,4.8
116,97,25.0,4.4,7.5,0.586,2.2,3.7,0.581,7.5,1.2,1.1,2.5,1.6,2.9,11.0,Kenyon Martin,0.0,0.1,0.222,4.4,7.5,0.59,0.587,2.5,7.2
39,14,29.2,5.8,10.4,0.554,3.0,4.7,0.638,9.6,1.3,0.6,3.5,2.6,3.4,14.8,Keon Clark,0.3,0.7,0.37,5.5,9.7,0.567,0.567,,
122,110,36.1,6.7,14.1,0.478,2.6,3.7,0.719,5.9,3.3,2.3,0.4,2.0,1.5,18.4,Kerry Kittles,2.3,5.8,0.394,4.5,8.3,0.536,0.558,,
123,84,25.3,2.2,6.0,0.371,1.4,1.9,0.751,2.4,3.6,1.3,0.3,1.9,2.7,7.0,Kevin Burleson,1.2,3.6,0.331,1.0,2.3,0.434,0.472,0.6,1.8
35,35,35.9,8.7,18.5,0.473,6.0,7.3,0.816,11.1,1.3,1.9,1.9,2.8,2.0,25.8,Kevin Durant,2.3,5.8,0.404,6.4,12.7,0.505,0.536,3.0,8.1
61,59,33.8,6.6,12.4,0.534,2.4,3.0,0.793,5.1,3.5,2.2,0.4,1.9,1.9,16.3,Kevin Edwards,0.7,1.5,0.446,6.0,10.9,0.547,0.562,,
65,65,31.9,4.2,9.0,0.466,1.5,2.0,0.748,5.0,3.0,0.8,0.7,1.9,2.1,12.0,Kevin Huerter,2.1,5.4,0.394,2.1,3.6,0.572,0.584,0.8,4.2
