G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
64,62,33.8,7.3,15.2,0.483,4.8,6.2,0.77,6.0,3.2,1.0,0.4,3.1,2.4,20.7,Mitch Richmond,1.3,3.2,0.413,6.0,12.0,0.502,0.527,,
130,78,23.5,3.2,6.2,0.519,1.2,2.3,0.528,4.1,1.8,1.0,0.4,1.8,2.7,7.9,Mitchell Butler,0.2,1.0,0.228,3.0,5.2,0.573,0.537,,
64,64,33.7,4.4,10.9,0.405,2.8,3.4,0.847,3.9,4.2,1.5,0.1,3.0,2.4,13.1,Mo Williams,1.4,4.8,0.294,3.0,6.1,0.492,0.47,1.0,2.9
112,75,26.4,4.8,8.1,0.586,1.9,3.6,0.533,6.9,0.9,0.8,1.1,1.3,1.9,11.6,Montrezl Harrell,0.1,0.4,0.275,4.7,7.8,0.6,0.592,2.6,4.3
85.0,56.0,29.8,5.8,12.0,0.487,3.7,5.1,0.738,7.0,1.6,1.0,0.6,2.8,2.4,16.1,Monty Williams,0.7,1.9,0.364,5.2,10.1,0.51,0.516,,
29,27,34.8,4.3,10.8,0.397,2.0,2.9,0.699,4.0,4.9,1.8,0.0,2.6,1.9,12.5,Moochie Norris,2.0,5.6,0.354,2.3,5.2,0.444,0.489,,
74,38.0,36.6,6.9,15.2,0.457,1.9,2.9,0.668,4.4,6.3,3.8,0.3,2.7,2.3,18.1,Mookie Blaylock,2.3,6.0,0.379,4.6,9.1,0.509,0.533,,
107,77,21.0,3.9,7.2,0.547,1.5,2.2,0.698,4.5,0.5,0.8,0.4,1.2,2.5,10.4,Moritz Wagner,1.0,2.7,0.385,2.9,4.5,0.643,0.618,1.2,3.3
121,56,22.3,5.2,10.5,0.492,3.5,4.2,0.824,3.5,1.0,0.7,0.5,2.2,1.7,15.1,Morris Almond,1.3,2.9,0.435,3.9,7.6,0.514,0.552,1.0,2.5
137,62,22.4,4.1,8.5,0.484,2.3,3.1,0.746,4.7,0.9,0.9,0.3,1.5,2.2,11.6,Morris Peterson,1.1,2.8,0.377,3.0,5.6,0.537,0.547,2.0,4.0
131,129,31.0,3.4,7.6,0.452,2.5,3.1,0.786,3.7,5.1,1.2,0.1,3.0,2.2,10.1,Mustafa Shakur,0.8,2.2,0.355,2.6,5.4,0.49,0.502,0.7,3.0
120,63,19.5,3.2,6.7,.475,1.2,1.7,.703,3.9,0.6,0.7,0.3,1.5,2.3,8.3,Myke Henry,0.6,1.9,.333,2.6,4.8,.531,.522,1.5,2.4
34,7,22.2,3.4,7.6,0.455,2.8,3.3,0.839,6.5,0.6,0.3,2.6,1.4,2.4,10.1,Myles Turner,0.5,1.8,0.274,2.9,5.7,0.513,0.488,1.3,5.2
36,0,18.2,3.6,7.6,0.478,2.1,2.8,0.77,4.6,0.7,0.5,0.5,1.3,1.6,9.8,Nassir Little,0.4,1.4,0.269,3.3,6.2,0.527,0.504,1.6,3.0
89,66,28.2,5.0,11.0,0.457,3.0,3.7,0.793,3.9,3.2,1.6,0.1,2.0,2.6,14.4,Nate Robinson,1.4,4.1,0.348,3.6,6.9,0.523,0.523,1.6,2.3
127,109,33.1,6.1,13.5,0.45,5.1,6.4,0.803,4.7,5.3,1.5,0.2,2.2,1.8,18.5,Nate Wolters,1.2,3.6,0.342,4.8,9.9,0.49,0.497,0.9,3.8
34,32,27.2,5.0,10.7,0.468,2.7,3.8,0.727,7.2,0.9,0.7,0.7,2.5,3.2,13.6,Naz Reid,0.8,2.5,0.333,4.2,8.3,0.509,0.507,2.5,4.7
94,39,16.2,3.6,6.4,0.553,1.5,2.6,0.581,5.7,0.5,0.8,1.4,1.5,2.2,8.7,Nazr Mohammed,0.0,0.0,0.0,3.6,6.4,0.555,0.553,,
24,24,31.9,4.1,6.9,0.59,2.3,4.3,0.529,9.5,1.6,2.1,4.4,1.9,2.6,10.5,Nerlens Noel,0.0,0.0,,4.1,6.9,0.59,0.59,2.7,6.8
69,57,29.5,7.0,12.7,0.553,2.6,3.9,0.657,7.3,1.8,1.4,0.9,1.7,2.0,17.0,Nick Anderson,0.4,1.0,0.361,6.7,11.7,0.57,0.568,,
72,71,33.0,5.3,11.6,0.455,3.9,5.4,0.715,5.3,6.3,1.8,0.1,3.1,2.0,16.3,Nick Calathes,1.8,4.8,0.38,3.5,6.8,0.507,0.533,1.0,4.3
142,130,27.4,6.0,10.7,0.562,2.5,4.0,0.624,8.0,1.8,1.1,1.7,2.4,2.9,14.8,Nick Collison,0.2,0.5,0.359,5.9,10.3,0.571,0.57,2.7,5.3
131,119,30.1,6.9,12.9,0.532,4.2,5.1,0.815,9.6,1.3,0.7,1.5,1.7,2.0,18.8,Nick Fazekas,0.9,2.6,0.341,6.0,10.3,0.579,0.566,2.5,7.1
108,101,30.9,4.1,9.7,0.421,2.8,3.9,0.734,3.7,2.8,1.3,0.6,1.8,2.0,12.3,Nick Johnson,1.3,3.7,0.359,2.8,6.0,0.459,0.49,0.6,3.1
96,90,31.1,5.8,11.9,0.484,3.0,3.9,0.764,5.1,1.4,0.8,0.3,2.1,2.5,15.5,Nick Young,1.0,2.7,0.368,4.8,9.2,0.518,0.525,1.7,3.3
67,67,29.9,4.7,10.1,0.464,2.4,3.1,0.763,4.0,2.7,1.4,0.5,2.2,1.9,13.5,Nickeil Alexander-walker,1.7,4.5,0.383,3.0,5.6,0.529,0.549,0.6,3.4
75,69,32.9,4.3,9.2,0.467,3.2,3.9,0.832,2.9,2.3,0.6,0.3,1.5,1.0,14.1,Nik Stauskas,2.3,5.2,0.441,2.0,4.0,0.5,0.591,0.5,2.5
30,29,26.5,3.8,7.2,0.523,3.2,4.5,0.716,9.0,0.6,0.9,1.4,2.1,2.7,11.3,Noah Vonleh,0.5,1.1,0.485,3.2,6.1,0.53,0.56,2.4,6.6
143,97,26.9,4.7,10.4,0.448,2.9,3.6,0.8,2.8,2.8,1.0,0.1,2.0,1.9,13.4,Nolan Smith,1.2,3.2,0.368,3.5,7.3,0.482,0.503,0.8,2.0
141,83,25.2,3.6,7.7,0.461,1.8,2.5,0.746,3.0,1.5,1.1,0.4,1.3,2.0,9.8,Norman Powell,0.8,2.5,0.314,2.8,5.2,0.533,0.512,0.4,2.6
140,106,29.4,4.8,11.1,0.435,3.5,4.2,0.826,3.2,3.3,1.5,0.1,2.0,2.2,14.1,Norris Cole,1.0,3.1,0.321,3.8,8.0,0.48,0.48,0.6,2.5
33,32,36.8,7.2,16.2,0.442,3.7,4.6,0.803,4.5,3.3,1.5,0.4,3.5,2.4,20.7,Oj Mayo,2.7,6.5,0.409,4.5,9.7,0.464,0.524,1.1,3.5
50,10,17.4,2.7,4.8,0.563,0.9,1.8,0.522,3.5,0.8,1.0,0.9,1.1,1.7,6.8,Og Anunoby,0.5,1.5,0.365,2.1,3.3,0.652,0.62,1.4,2.1
118,105,24.0,3.5,6.9,0.501,3.0,4.6,0.654,5.7,0.9,0.6,1.1,2.0,3.0,9.9,Obinna Ekezie,0.0,0.0,0.0,3.5,6.9,0.502,0.501,2.1,3.5
139,94,24.6,3.4,6.8,0.494,2.9,3.6,0.799,5.1,0.7,0.7,0.8,1.6,2.9,10.1,Okaro White,0.5,1.5,0.327,2.9,5.3,0.542,0.53,1.8,3.2
95,84,31.9,4.7,8.1,0.578,2.8,4.6,0.612,7.0,0.5,0.3,0.9,2.3,2.3,12.1,Olden Polynice,,,,,,,,,
137,86,23.7,5.0,7.8,0.636,2.3,3.5,0.646,6.5,2.2,1.1,2.5,2.5,3.0,12.2,Oliver Miller,0.0,0.2,0.167,4.9,7.6,0.65,0.638,1.6,3.5
40,39,28.1,4.0,8.4,0.476,1.2,1.8,0.7,8.0,0.8,0.7,1.5,1.0,2.3,10.9,Omari Spellman,1.6,3.8,0.433,2.4,4.7,0.511,0.573,2.3,5.8
104,58,24.9,2.5,6.1,.409,1.1,1.6,.726,3.4,3.1,2.0,0.3,2.1,2.8,7.0,Orien Greene,0.9,3.0,.316,1.5,3.1,.497,.486,0.9,2.5
124,122,31.3,6.0,13.0,.457,4.1,5.7,.720,5.6,2.6,0.9,0.5,2.6,2.2,17.8,Orlando Johnson,1.8,4.6,.391,4.2,8.4,.493,.526,1.8,3.8
132,132,28.2,4.9,8.8,0.561,4.1,5.6,0.732,7.4,1.0,0.8,1.5,2.5,2.8,13.9,Othella Harrington,0.0,0.0,0.0,4.9,8.7,0.563,0.561,,
113,99,32.8,5.5,9.6,0.575,3.3,5.1,0.653,8.0,0.9,0.7,0.9,2.4,3.2,14.4,Otis Thorpe,,,,,,,,,
121,,25.7,3.9,8.1,0.488,2.1,3.2,0.654,8.4,1.5,0.8,2.0,1.8,2.9,10.1,Pj Brown,0.2,0.4,0.377,3.8,7.6,0.495,0.498,,
87,69,28.9,5.0,9.6,0.526,3.3,4.7,0.711,8.2,2.0,1.3,0.3,2.2,2.5,13.4,Pj Tucker,0.0,0.0,0.5,5.0,9.5,0.527,0.528,3.1,5.1
72,63,28.3,4.5,8.7,0.521,3.4,5.4,0.632,6.6,1.7,0.8,1.0,1.9,2.6,12.9,Pj Washington,0.5,1.4,0.384,4.0,7.3,0.547,0.551,2.1,4.5
70,64,24.0,4.0,10.1,0.398,1.6,2.8,0.579,3.9,2.4,1.3,0.3,2.4,2.6,10.4,Pj Dozier,0.7,2.7,0.277,3.3,7.4,0.442,0.435,0.9,3.0
71,14,18.1,3.1,8.0,0.388,2.0,2.5,0.8,3.2,1.0,0.8,0.3,0.9,1.7,10.0,Pj Hairston,1.8,5.1,0.349,1.3,2.9,0.458,0.5,1.3,1.9
72,70,32.4,5.3,11.3,0.468,4.9,7.3,0.667,9.1,0.8,1.4,0.8,2.6,3.6,15.8,Pape Sow,0.3,0.9,0.294,5.0,10.4,0.484,0.48,2.8,6.2
68,61,32.7,6.5,11.8,0.551,3.5,5.0,0.711,9.7,1.5,0.9,2.0,1.9,2.6,16.6,Pascal Siakam,0.0,0.3,0.176,6.4,11.5,0.559,0.553,3.6,6.1
120,71.0,22.7,3.5,7.2,0.491,1.7,2.7,0.631,6.0,0.8,0.6,1.1,2.4,2.3,8.9,Pat Burke,0.2,0.8,0.222,3.3,6.4,0.522,0.502,,
139,123,32.3,3.7,8.2,0.45,1.2,1.5,0.777,5.9,1.8,0.7,0.5,1.0,1.7,10.5,Pat Connaughton,1.9,5.0,0.386,1.8,3.2,0.549,0.567,1.0,4.9
111,111,32.9,6.7,13.8,0.488,4.4,5.9,0.747,7.0,2.0,0.8,0.6,3.1,2.8,18.8,Pat Garrity,0.9,2.5,0.358,5.8,11.3,0.516,0.52,,
70,67,34.1,4.1,9.7,0.42,2.8,3.9,0.73,5.5,2.8,1.5,0.4,2.0,2.3,13.0,Patrick Beverley,2.0,5.2,0.382,2.1,4.6,0.463,0.521,1.2,4.4
143,138,30.8,6.0,9.7,0.62,3.3,5.2,0.635,9.2,0.9,1.2,3.4,2.3,3.0,15.3,Patrick Ewing,,,,,,,,,
65,48,31.7,4.2,9.6,0.439,1.9,2.5,0.753,4.2,3.3,2.0,0.4,1.9,1.9,12.2,Patrick Mccaw,1.9,5.2,0.367,2.3,4.3,0.527,0.539,0.9,3.3
97,97,34.0,6.4,10.9,0.585,3.2,4.3,0.734,8.2,1.5,0.7,1.6,1.6,2.1,16.1,Patrick Patterson,0.2,0.8,0.329,6.1,10.1,0.604,0.597,2.9,5.3
103,,,2.0,5.6,0.346,1.3,2.2,0.596,3.3,4.4,,,,,5.2,Patty Mills,,,,,,,,,
130,97,25.8,4.7,8.8,0.538,3.7,4.8,0.763,7.0,1.4,1.1,0.7,2.1,2.6,13.2,Paul Davis,0.1,0.4,0.271,4.6,8.4,0.549,0.543,2.1,4.9
63,63,33.9,5.1,11.4,0.447,3.4,4.2,0.803,6.7,2.4,2.0,0.9,2.7,2.8,15.5,Paul George,1.9,4.9,0.396,3.1,6.5,0.485,0.532,1.9,4.8
32,23,27.4,4.7,8.8,0.53,1.8,2.8,0.629,4.7,1.8,1.6,0.6,2.2,2.4,11.2,Paul Mcpherson,0.2,0.5,0.313,4.5,8.3,0.543,0.539,2.5,2.2
92,91,35.2,7.2,12.4,0.577,4.2,6.8,0.62,12.7,0.9,1.3,2.0,2.4,3.1,18.6,Paul Millsap,0.1,0.2,0.375,7.1,12.2,0.58,0.579,5.5,7.3
108,106,28.1,6.0,12.4,0.481,3.4,4.9,0.697,6.3,2.2,1.4,0.9,2.8,2.5,16.4,Paul Pierce,1.0,2.8,0.355,5.0,9.6,0.518,0.521,,
116,116,35.0,2.9,8.5,0.341,1.4,1.9,0.728,4.8,5.9,3.1,0.1,2.4,2.4,8.5,Pepe Sanchez,1.3,4.4,0.295,1.6,4.1,0.389,0.417,0.7,4.8
144,113,26.2,2.9,6.9,0.417,2.0,2.8,0.737,2.4,4.7,1.8,0.1,2.7,2.6,8.4,Peyton Siva,0.7,2.4,0.291,2.2,4.5,0.482,0.467,0.3,2.1
99,81,29.7,3.2,8.2,0.395,2.1,2.7,0.757,3.0,5.9,2.0,0.1,2.7,2.0,9.7,Phil Pressey,1.2,3.3,0.347,2.1,4.9,0.429,0.466,0.6,2.3
115,93,31.4,4.8,11.4,0.42,3.5,4.2,0.846,2.8,3.0,1.4,0.0,2.5,1.8,14.9,Pooh Jeter,1.7,4.7,0.373,3.0,6.7,0.453,0.497,0.5,2.4
123,92,29.3,6.4,12.9,0.493,3.8,5.0,0.751,11.2,1.8,1.3,0.7,2.3,2.8,16.7,Popeye Jones,0.2,0.7,0.345,6.1,12.2,0.501,0.502,,
112,72,23.8,4.2,7.2,0.584,3.3,5.4,0.608,6.0,0.6,0.8,1.3,1.8,3.1,11.7,Pops Mensah-bonsu,0.0,0.0,,4.2,7.2,0.584,0.584,2.4,3.6
106,86,25.9,4.4,10.3,.428,3.3,4.1,.786,3.7,2.4,0.8,0.1,2.2,2.5,13.8,Predrag Savovic,1.7,4.7,.366,2.7,5.6,.480,.511,1.2,3.2
64,62,34.2,6.3,14.0,0.454,3.4,4.7,0.728,10.2,1.6,0.9,0.3,2.2,2.3,17.9,Quentin Richardson,1.8,5.0,0.369,4.5,9.0,0.5,0.519,3.6,6.3
139,66,25.1,3.6,6.0,0.602,2.5,3.6,0.708,6.0,0.6,0.7,1.3,1.5,2.6,9.8,Quincy Acy,0.0,0.1,0.429,3.6,6.0,0.604,0.604,2.2,3.8
95,64,32.1,6.1,14.1,0.432,2.9,3.6,0.82,2.9,2.7,1.3,0.7,2.2,1.8,17.8,Quincy Douby,2.6,6.8,0.389,3.5,7.3,0.473,0.526,0.7,2.2
127,61,23.4,4.8,10.4,0.46,2.1,2.9,0.723,4.0,1.5,1.4,0.7,1.5,2.7,12.7,Quincy Lewis,1.0,2.9,0.344,3.8,7.5,0.505,0.508,,
37,35,24.4,3.7,8.4,0.447,2.5,3.1,0.816,4.9,1.4,0.7,0.6,1.8,1.9,10.6,Quincy Miller,0.6,1.9,0.348,3.1,6.5,0.475,0.485,1.5,3.5
136,102,27.3,4.8,9.5,0.503,3.1,4.1,0.768,5.6,1.7,0.8,0.3,1.9,2.5,13.1,Quincy Pondexter,0.4,1.2,0.327,4.4,8.3,0.528,0.524,2.4,3.2
143,99,28.2,3.7,8.6,0.432,1.9,2.2,0.853,2.7,3.6,1.1,0.1,1.4,1.8,11.0,Quinn Cook,1.7,4.4,0.375,2.1,4.2,0.492,0.528,0.4,2.3
119,93,30.5,4.8,10.8,0.446,3.7,4.9,0.756,5.5,1.9,1.3,0.7,1.9,2.0,14.8,Quinton Ross,1.4,4.3,0.331,3.4,6.5,0.521,0.512,2.2,3.3
38,38,35.3,8.4,18.5,0.454,3.9,5.9,0.665,7.6,4.3,0.9,0.4,3.2,1.8,22.6,Rj Barrett,1.9,6.2,0.308,6.5,12.2,0.529,0.506,1.6,6.0
99,98,34.7,5.6,13.3,0.423,4.5,5.3,0.853,4.8,2.4,1.9,0.9,1.7,2.2,18.4,Rj Hunter,2.6,7.2,0.354,3.1,6.1,0.505,0.519,0.7,4.1
131,131,27.5,6.3,11.3,0.555,3.1,4.3,0.712,9.1,0.7,0.7,1.1,2.0,2.5,15.8,Raef Lafrentz,0.1,0.3,0.371,6.2,11.1,0.56,0.56,,
62,62,27.4,5.9,10.4,0.567,3.1,4.5,0.691,9.5,1.2,1.4,0.6,2.9,3.4,15.1,Rafael Araujo,0.2,0.7,0.268,5.7,9.8,0.587,0.575,2.9,6.6
33,,31.2,3.8,9.4,0.401,1.5,2.0,0.758,2.2,7.3,2.1,0.4,3.4,2.9,11.0,Rafer Alston,2.0,5.9,0.337,1.8,3.4,0.513,0.508,,
116,50,31.6,5.2,12.0,.435,3.0,4.1,.729,4.2,2.0,1.1,0.2,2.4,2.9,14.8,Raja Bell,1.4,3.9,.350,3.9,8.1,.476,.492,1.2,3.1
68,62,28.1,3.7,7.4,0.493,1.9,3.3,0.577,4.5,4.2,2.3,0.2,2.2,2.0,9.6,Rajon Rondo,0.4,1.5,0.283,3.3,6.0,0.544,0.521,0.8,3.7
142,140,22.0,2.9,5.1,0.56,1.6,2.4,0.681,5.3,0.6,0.5,1.7,1.1,2.6,7.4,Rakeem Christmas,0.0,0.0,0.0,2.9,5.1,0.56,0.56,2.0,3.3
97,94,29.2,3.2,7.6,0.417,2.2,3.0,0.74,4.2,4.9,1.2,0.1,2.6,1.3,8.8,Ramon Sessions,0.3,0.8,0.313,2.9,6.7,0.43,0.434,1.0,3.2
89,79,23.8,4.7,8.1,0.578,3.2,4.9,0.661,6.0,0.8,0.8,1.4,1.6,2.8,12.6,Randolph Morris,0.0,0.0,,4.7,8.1,0.578,0.578,1.8,4.2
117,12,29.1,3.0,6.8,.436,3.0,4.2,.703,3.2,4.6,2.3,0.3,3.1,2.8,9.1,Randy Brown,0.2,0.7,.310,2.7,6.1,.451,.453,,
131,128,31.3,5.2,13.1,0.399,3.0,3.8,0.781,4.8,3.2,1.5,0.4,2.9,2.7,15.0,Randy Foye,1.6,4.9,0.329,3.6,8.1,0.441,0.461,1.4,3.4
98,90,29.2,6.3,12.9,0.486,2.8,3.8,0.721,4.1,2.1,1.5,0.6,2.2,2.4,17.6,Rashad Mccants,2.3,5.4,0.415,4.0,7.4,0.538,0.574,1.5,2.6
23,23,32.3,6.3,14.3,0.439,3.0,4.3,0.694,4.8,1.6,0.8,0.3,2.2,2.3,17.8,Rashad Vaughn,2.3,6.1,0.383,3.9,8.1,0.481,0.521,0.6,4.2
69,41,25.5,5.5,8.6,0.635,2.1,3.4,0.621,7.4,0.8,0.6,2.3,1.5,2.6,13.0,Rasheed Wallace,0.0,0.1,0.25,5.4,8.6,0.637,0.636,,
110,108,38.3,6.8,16.7,0.409,3.1,3.7,0.829,5.9,1.6,1.0,1.1,2.7,1.9,19.3,Rasual Butler,2.6,7.1,0.359,4.3,9.6,0.447,0.486,1.9,4.5
103,88,31.7,5.6,12.7,.445,4.2,5.8,.727,5.7,2.0,2.0,1.0,2.7,2.3,16.5,Rawle Marshall,1.0,3.4,.311,4.6,9.3,.493,.486,1.9,3.8
101,66,29.7,7.0,14.3,0.487,2.8,3.5,0.779,6.0,2.4,1.6,0.4,1.9,1.4,19.0,Ray Allen,2.3,5.1,0.448,4.7,9.2,0.508,0.567,2.5,3.5
115,,36.3,7.4,14.5,0.507,3.6,4.5,0.804,2.1,2.4,1.5,0.1,1.7,1.6,18.3,Ray Mccallum,,,,,,,,,
98,37,24.2,3.4,6.7,.505,3.0,4.0,.756,4.1,1.2,0.7,0.3,1.5,2.0,11.0,Rayjon Tucker,1.2,2.8,.414,2.2,3.9,.572,.592,0.7,3.4
101,100,33.9,4.1,9.7,0.423,2.6,3.5,0.731,4.1,6.9,1.9,0.3,3.6,2.3,12.5,Raymond Felton,1.7,4.6,0.375,2.4,5.1,0.467,0.512,0.7,3.4
125,123,31.6,5.1,11.2,0.452,3.6,4.9,0.75,3.4,3.8,1.5,0.2,2.7,2.5,15.6,Reece Gaines,1.8,4.7,0.383,3.3,6.5,0.502,0.533,0.7,2.7
69,66,34.4,4.7,9.7,0.486,5.9,9.4,0.625,11.5,1.4,1.2,0.6,3.3,3.0,15.3,Reggie Evans,0.0,0.0,0.5,4.7,9.6,0.486,0.487,3.8,7.7
99,52,28.0,4.6,9.9,0.465,2.3,3.0,0.753,4.4,3.5,0.8,0.5,2.1,1.7,12.7,Reggie Jackson,1.2,3.5,0.351,3.4,6.4,0.527,0.527,1.4,3.0
122,93,31.4,6.3,11.5,0.547,4.0,4.8,0.836,4.2,2.0,1.3,0.2,1.8,2.1,17.2,Reggie Miller,2.2,4.9,0.439,5.6,9.3,0.561,0.572,,
121,,32.0,5.3,9.1,0.585,4.3,6.0,0.717,9.9,1.1,0.7,0.8,,2.5,15.0,Reggie Slater,0.0,0.0,0.0,5.3,9.1,0.585,0.585,,
138,109,29.2,5.9,12.0,0.49,3.1,4.0,0.768,6.4,2.4,1.5,0.5,2.3,2.7,15.3,Reggie Williams,2.3,5.9,0.386,6.1,11.4,0.504,0.514,,
104,40,21.1,3.0,5.5,0.553,1.2,2.2,0.533,5.3,1.7,1.2,1.1,1.7,2.1,7.4,Renaldo Balkman,0.2,0.5,0.291,2.9,5.0,0.581,0.567,2.1,3.2
103,103,31.8,6.7,15.7,0.426,4.0,4.9,0.826,4.5,2.6,1.3,0.3,2.5,2.0,19.8,Richard Hamilton,2.3,6.1,0.378,4.4,9.7,0.456,0.499,1.5,3.0
84,77,26.3,4.0,8.1,0.49,2.5,3.5,0.718,5.0,2.8,0.6,0.8,2.7,2.6,11.2,Richard Jefferson,0.7,1.9,0.368,3.3,6.2,0.528,0.534,1.5,3.6
95,63,26.5,4.2,7.7,0.554,2.7,3.8,0.697,6.9,0.7,0.8,2.6,1.5,2.5,11.5,Richaun Holmes,0.3,0.9,0.353,3.9,6.8,0.58,0.574,2.6,4.2
130,35.0,26.3,4.1,9.2,0.449,2.1,2.6,0.799,3.7,1.9,0.7,0.1,1.3,1.1,12.5,Richie Frahm,2.2,5.1,0.423,2.0,4.1,0.482,0.567,1.0,3.4
124,89,33.2,3.9,10.4,0.371,2.8,4.2,0.658,3.9,3.8,2.0,0.1,2.1,1.9,12.0,Rick Brunson,1.5,5.2,0.294,2.3,5.2,0.449,0.445,,
140,82,22.7,4.5,8.7,0.518,2.0,2.7,0.757,4.2,2.3,1.4,0.3,2.4,2.9,12.2,Rick Fox,1.1,2.8,0.388,3.4,5.9,0.58,0.581,,
31,26,26.6,5.6,12.0,0.466,2.9,4.2,0.698,4.8,2.4,1.2,0.3,3.4,1.7,15.0,Ricky Davis,0.9,2.9,0.308,4.7,9.0,0.518,0.504,1.8,3.0
108,75,23.3,2.8,6.0,0.468,3.1,3.8,0.81,6.0,1.3,0.6,1.1,1.5,2.5,9.4,Rob Kurz,0.7,1.6,0.409,2.1,4.4,0.49,0.524,2.0,4.0
127.0,120.0,30.2,4.6,10.4,0.443,3.1,3.7,0.841,6.8,2.1,1.0,0.9,1.1,2.4,14.0,Robbie Hummel,1.7,4.4,0.389,2.9,6.0,0.483,0.525,1.9,4.9
130,61,16.2,2.0,3.5,0.57,2.2,3.2,0.681,4.1,0.8,0.5,0.6,1.6,3.0,6.2,Robert Archibald,0.0,0.0,0.0,2.0,3.5,0.571,0.57,1.8,2.7
118,111,30.0,5.3,11.1,0.476,2.7,3.4,0.802,7.4,1.2,1.5,1.3,2.3,3.0,14.8,Robert Covington,1.5,3.7,0.422,3.7,7.4,0.502,0.545,2.6,4.8
134,108,28.0,4.3,9.3,0.458,2.4,3.2,0.742,6.9,1.8,1.3,2.1,2.2,2.7,11.9,Robert Horry,1.0,2.6,0.371,3.3,6.7,0.492,0.51,2.4,5.0
57,26.0,32.0,4.6,9.7,0.476,3.6,4.9,0.742,2.8,5.6,1.6,0.0,,,13.4,Robert Pack,0.6,2.0,0.295,4.0,7.7,0.523,0.506,,
136,111,21.7,3.0,6.0,0.504,3.3,4.5,0.735,5.0,0.7,0.5,1.4,1.6,2.3,9.3,Robert Sacre,0.0,0.0,0.25,3.0,5.9,0.505,0.504,1.8,3.2
91,73,27.3,5.5,9.6,0.566,2.4,4.4,0.545,8.2,1.5,1.1,1.1,2.9,3.2,13.3,Robert Traylor,0.0,0.0,0.0,5.5,9.6,0.566,0.566,,
22,3,13.0,2.2,6.3,0.348,1.4,2.1,0.66,2.5,0.6,0.3,0.4,1.1,2.1,5.8,Robert Whaley,0.0,0.0,0.0,2.2,6.2,0.35,0.348,1.0,1.4
67,61,24.3,3.5,6.9,0.511,1.9,3.1,0.612,5.6,0.8,0.3,2.3,1.6,2.5,9.0,Robin Lopez,0.0,0.0,0.5,3.5,6.9,0.511,0.512,2.6,3.1
87,71,33.1,6.6,12.3,0.534,3.1,5.0,0.626,3.4,6.4,2.3,0.2,2.9,2.1,16.6,Rod Strickland,0.6,1.2,0.464,6.5,11.5,0.539,0.549,,
118,99,30.3,6.6,14.7,0.447,2.9,3.9,0.753,6.1,1.8,1.7,0.5,2.2,1.9,17.9,Rodney Buford,1.8,4.7,0.38,4.8,10.0,0.479,0.508,,
133,101,27.4,5.0,11.9,0.415,2.2,3.1,0.717,4.9,1.2,1.0,1.0,1.4,2.1,14.3,Rodney Carney,2.2,6.0,0.362,2.8,6.0,0.468,0.506,1.5,3.4
67,62,32.8,4.7,10.4,.455,2.0,2.6,.773,4.3,2.1,0.6,0.3,1.3,2.0,13.3,Rodney Hood,1.8,4.4,.396,3.0,6.0,.499,.539,0.9,3.4
135,100,27.4,4.2,9.3,0.452,1.9,2.5,0.759,4.8,1.4,0.9,0.3,1.3,1.5,11.7,Rodney Mcgruder,1.4,3.7,0.381,2.8,5.7,0.498,0.527,1.9,3.0
89,86,31.6,7.7,13.2,0.579,3.4,4.9,0.694,7.9,2.2,1.6,0.8,2.8,2.8,19.3,Rodney Rogers,0.6,1.7,0.349,7.1,11.5,0.613,0.602,,
59,59,33.1,8.1,17.1,0.472,6.5,8.1,0.806,4.7,4.8,2.3,0.3,3.5,2.4,24.4,Rodney Stuckey,1.7,5.2,0.317,6.4,11.9,0.54,0.52,1.1,3.6
28,26,30.9,6.7,13.8,0.487,4.1,5.7,0.713,6.5,1.5,1.2,0.7,2.9,2.6,18.7,Rodney White,1.2,3.4,0.347,5.5,10.4,0.533,0.53,1.8,4.7
32,32,34.1,5.5,12.3,0.448,4.4,6.1,0.722,5.4,2.3,0.8,0.8,2.1,1.9,16.5,Romeo Langford,1.1,3.9,0.272,4.5,8.4,0.53,0.491,1.4,4.0
124,121,30.6,4.2,9.7,0.433,2.8,3.5,0.801,4.2,2.8,1.3,0.6,1.4,1.7,13.2,Ron Baker,2.0,5.3,0.369,2.3,4.4,0.509,0.534,0.8,3.4
120,,34.7,8.1,15.1,0.534,3.7,5.7,0.642,9.3,2.8,2.4,1.5,2.8,2.9,19.8,Ron Harper,,,,,,,,,
76,53,26.0,5.3,11.0,0.483,1.8,2.2,0.782,4.1,1.9,1.3,0.2,1.4,1.9,13.3,Ron Mercer,0.9,2.8,0.344,4.4,8.3,0.529,0.526,,
129,94,28.8,5.2,10.7,0.483,2.6,4.0,0.638,7.0,1.6,0.8,0.4,2.2,2.5,13.4,Ronald Dupree,0.5,1.7,0.3,4.6,8.9,0.519,0.508,2.4,4.6
76,31,27.0,3.4,6.9,0.496,3.3,4.7,0.697,6.3,1.5,0.9,0.9,1.4,2.4,10.2,Rondae Hollis-jefferson,0.1,0.5,0.205,3.3,6.4,0.52,0.504,2.1,4.1
90,88,33.0,5.5,11.9,0.462,3.6,5.4,0.671,5.0,3.3,2.4,0.5,2.3,1.7,15.7,Ronnie Brewer,1.2,3.4,0.34,4.3,8.5,0.511,0.511,1.7,3.4
