PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
Trevelin Queen,31.0,13.9,4.9,1.7,1.2,1.0,0.3,0.381,0.286,0.857,0.7
Trevor Ariza,27.0,23.65,6.7,4.1,1.4500000000000002,0.75,0.44999999999999996,0.372,0.31,0.6645000000000001,0.6
Trey Alexander,24.0,4.9,1.3,0.5,0.5,0.1,0.0,0.317,0.176,0.75,0.2
Trey Burke,52.0,12.6,5.85,0.8500000000000001,1.35,0.44999999999999996,0.05,0.4095,0.3355,0.8825000000000001,0.55
Trey Jemison III,31.5,16.65,4.65,4.1,0.75,0.35,0.75,0.5525,0.0,0.617,1.0
Trey Lyles,59.8,18.52,7.359999999999999,4.38,1.02,0.4,0.27999999999999997,0.45339999999999997,0.3516,0.7338,0.7
Trey Murphy III,62.75,27.4,13.975,4.0,1.925,0.875,0.44999999999999996,0.44375,0.38225,0.87225,0.9
Tristan Thompson,50.0,14.725,4.6499999999999995,5.05,0.85,0.275,0.4,0.524,0.08325,0.40975,0.7250000000000001
Tristan Vukcevic,35.0,14.6,9.4,3.7,1.1,0.3,0.7,0.496,0.373,0.776,1.2
Tristan da Silva,74.0,22.0,7.2,3.3,1.5,0.4,0.2,0.412,0.335,0.873,0.8
Troy Brown Jr.,58.75,17.475,5.075,3.175,1.05,0.5,0.15000000000000002,0.413,0.34525,0.8049999999999999,0.525
Ty Jerome,49.0,19.65,9.3,2.15,3.075,0.7,0.1,0.457,0.38525,0.84325,1.05
TyTy Washington Jr.,31.0,14.0,4.7,1.5,1.5,0.5,0.1,0.363,0.238,0.556,0.5
Tyler Cook,26.0,11.85,4.15,2.85,0.35,0.25,0.15000000000000002,0.6375,0.25,0.571,0.55
Tyler Herro,61.2,33.339999999999996,20.119999999999997,5.18,4.32,0.74,0.18,0.4476,0.3816,0.8678000000000001,2.34
Tyler Johnson,39.0,17.5,5.4,2.0,1.2,0.4,0.0,0.393,0.364,0.857,0.4
Tyler Kolek,41.0,7.2,2.0,0.7,1.7,0.3,0.1,0.329,0.298,0.765,0.4
Tyler Smith,23.0,5.3,2.9,1.1,0.2,0.1,0.2,0.48,0.433,0.75,0.3
Tyrese Haliburton,66.6,32.9,17.54,3.62,8.8,1.44,0.58,0.477,0.395,0.8552,2.12
Tyrese Martin,60.0,21.9,8.7,3.7,2.0,0.6,0.2,0.406,0.351,0.793,1.2
Tyrese Maxey,63.6,31.880000000000003,19.6,2.96,4.42,0.9400000000000001,0.32,0.46299999999999997,0.37439999999999996,0.8657999999999999,1.46
Tyus Jones,74.0,23.8,9.5,2.4,5.18,0.96,0.12,0.4514,0.382,0.8460000000000001,0.86
Udoka Azubuike,36.0,10.0,3.5,3.3,0.3,0.2,0.4,0.819,0.0,0.35,0.5
Usman Garuba,49.5,11.45,2.5,3.8,0.8,0.5,0.45,0.45899999999999996,0.3285,0.6655,0.44999999999999996
Vasilije Micic,50.5,19.35,6.8,1.85,3.75,0.45,0.05,0.389,0.3195,0.821,1.7999999999999998
Victor Oladipo,37.5,29.5,15.25,3.9,4.05,1.4,0.35,0.40249999999999997,0.328,0.7505,2.3
Victor Wembanyama,58.5,31.450000000000003,22.85,10.8,3.8,1.15,3.7,0.47050000000000003,0.3385,0.8160000000000001,3.45
Vince Williams Jr.,39.5,23.05,8.3,4.6,2.7,0.65,0.5,0.4235,0.326,0.796,1.5
Vlatko Čančar,50.5,10.850000000000001,3.55,1.65,0.8,0.35,0.1,0.46699999999999997,0.3235,0.8480000000000001,0.44999999999999996
Vít Krejčí,34.5,18.375,5.175,2.35,1.85,0.5,0.275,0.44975,0.3535,0.727,0.75
Walker Kessler,65.33333333333333,25.433333333333334,9.466666666666667,9.366666666666667,1.1666666666666667,0.5,2.3666666666666667,0.6789999999999999,0.24,0.5459999999999999,1.0999999999999999
Wayne Ellington,44.5,20.4,8.15,1.8,1.1,0.45,0.15000000000000002,0.4275,0.40549999999999997,0.8089999999999999,0.55
Wendell Carter Jr.,59.2,27.3,12.3,8.3,2.1399999999999997,0.62,0.64,0.5076,0.317,0.7183999999999999,1.5
Wendell Moore Jr.,30.0,7.3999999999999995,2.1,1.2333333333333334,0.6666666666666666,0.3666666666666667,0.10000000000000002,0.4623333333333333,0.153,0.5393333333333333,0.43333333333333335
Wenyen Gabriel,38.333333333333336,13.466666666666667,4.766666666666667,3.5,0.5,0.3333333333333333,0.43333333333333335,0.4956666666666667,0.3233333333333333,0.6203333333333333,0.6666666666666666
Wes Iwundu,41.0,13.1,2.4,2.2,0.4,0.4,0.1,0.333,0.122,0.839,0.5
Wesley Matthews,48.75,16.825,4.1,1.8,0.725,0.5,0.275,0.3655,0.334,0.81175,0.325
Will Barton,61.0,26.933333333333334,11.399999999999999,3.733333333333333,3.033333333333333,0.7333333333333334,0.3333333333333333,0.4143333333333333,0.371,0.7916666666666666,1.4666666666666668
Willie Cauley-Stein,36.5,13.100000000000001,3.5,3.25,0.6,0.35,0.5,0.5445,0.2955,0.5640000000000001,0.45
Willy Hernangomez,45.0,15.6,7.933333333333334,6.2,1.1,0.43333333333333335,0.39999999999999997,0.5366666666666666,0.2353333333333333,0.7396666666666668,0.9
Xavier Tillman,52.0,15.180000000000001,4.9399999999999995,3.5,1.1400000000000001,0.76,0.48,0.4612,0.2424,0.6062000000000001,0.62
Yuki Kawamura,22.0,4.2,1.6,0.5,0.9,0.1,0.0,0.367,0.304,0.778,0.2
Yuta Watanabe,45.0,13.975,4.425,2.4,0.65,0.4,0.325,0.42225,0.37,0.68475,0.475
Yves Missi,73.0,26.8,9.1,8.2,1.4,0.5,1.3,0.547,0.0,0.623,1.1
Zaccharie Risacher,75.0,24.6,12.6,3.6,1.2,0.7,0.5,0.458,0.355,0.711,1.2
Zach Collins,56.0,19.55,9.25,5.45,2.4,0.525,0.7250000000000001,0.49975,0.33425,0.79975,1.6
Zach Edey,66.0,21.5,9.2,8.3,1.0,0.5,1.3,0.58,0.346,0.709,1.3
Zach LaVine,60.2,35.160000000000004,23.880000000000003,4.720000000000001,4.340000000000001,0.78,0.3,0.4862,0.3956,0.8458,2.7
Zeke Nnaji,50.2,12.16,4.279999999999999,2.3,0.38,0.32,0.44000000000000006,0.5034,0.344,0.6734,0.42000000000000004
Ziaire Williams,53.25,20.425,8.0,3.075,1.175,0.675,0.25,0.422,0.305,0.80075,1.025
Zion Williamson,47.5,31.575000000000003,25.125,6.8,4.65,1.075,0.7,0.589,0.3065,0.6925,2.975
