PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
Semi Ojeleye,66.0,13.666666666666666,3.1333333333333333,1.9333333333333336,0.39999999999999997,0.26666666666666666,0.10000000000000002,0.39266666666666666,0.3376666666666666,0.7000000000000001,0.3
Semih Erden,34.5,13.2,3.75,2.75,0.4,0.4,0.4,0.543,0.0,0.581,0.7
Serge Ibaka,76.4,27.24,10.72,7.4,0.45999999999999996,0.42000000000000004,2.62,0.546,0.3134,0.7148,1.22
Sergei Monia,26.0,13.2,3.0,2.0,0.7,0.3,0.2,0.333,0.265,0.714,0.5
Sergey Karasev,31.666666666666668,11.300000000000002,2.9,1.4000000000000001,0.8666666666666667,0.3333333333333333,0.03333333333333333,0.38366666666666666,0.26799999999999996,0.864,0.6
Sergio Rodriguez,70.6,15.02,5.0200000000000005,1.48,3.38,0.6,0.04,0.40700000000000003,0.3234,0.7312000000000001,1.3800000000000001
Seth Curry,63.0,22.05,9.975000000000001,1.975,1.75,0.675,0.125,0.47175,0.44425000000000003,0.8385,0.9750000000000001
Shabazz Muhammad,55.6,16.04,8.559999999999999,2.68,0.5399999999999999,0.3,0.1,0.4686,0.31020000000000003,0.737,0.6
Shabazz Napier,57.8,15.74,6.2,1.7,2.04,0.72,0.12,0.3856,0.354,0.7938,1.1199999999999999
Shai Gilgeous-Alexander,76.0,30.6,14.9,4.35,3.3,1.15,0.6,0.4735,0.357,0.8035000000000001,1.7999999999999998
Shake Milton,30.0,16.75,6.9,2.0,1.75,0.45,0.30000000000000004,0.4375,0.374,0.7495,0.75
Shammond Williams,56.0,16.020000000000003,5.42,1.56,2.2199999999999998,0.58,0.04,0.40679999999999994,0.3776,0.7962,0.9400000000000001
Shandon Anderson,78.4,22.44,6.779999999999999,3.1799999999999997,1.3800000000000001,0.8,0.26,0.43620000000000003,0.27440000000000003,0.748,1.3
Shane Battier,79.2,32.3,10.52,4.82,1.7399999999999998,1.28,1.04,0.45759999999999995,0.38180000000000003,0.7512,1.1199999999999999
Shane Larkin,64.0,17.85,5.15,1.7999999999999998,2.6750000000000003,0.85,0.07500000000000001,0.40975,0.33475,0.76575,1.1
Shannon Brown,51.2,13.98,5.92,1.3800000000000001,0.9,0.5599999999999999,0.18000000000000002,0.4104,0.327,0.7699999999999999,0.8400000000000001
Shaquille Harrison,46.333333333333336,15.866666666666667,6.0,2.566666666666667,1.8,1.0333333333333334,0.3666666666666667,0.4583333333333333,0.294,0.7280000000000001,0.7333333333333334
Shaquille O'Neal,69.6,36.88,25.56,11.28,3.08,0.5599999999999999,2.4,0.582,0.0,0.5282,2.82
Shareef Abdur-Rahim,75.6,36.620000000000005,18.94,8.26,2.66,1.04,0.7,0.47780000000000006,0.2976,0.8422000000000001,2.62
Shaun Livingston,50.8,24.3,7.2,2.7199999999999998,4.08,0.8200000000000001,0.42000000000000004,0.4574,0.1376,0.776,1.8199999999999998
Shavlik Randolph,39.0,7.25,1.7,2.05,0.25,0.25,0.15000000000000002,0.35550000000000004,0.0,0.5529999999999999,0.25
Shawn Bradley,71.8,16.6,4.779999999999999,4.4,0.42000000000000004,0.5,1.6,0.48600000000000004,0.0334,0.807,0.62
Shawn Kemp,74.0,17.666666666666668,6.466666666666666,4.433333333333334,0.7999999999999999,0.7000000000000001,0.3666666666666667,0.4183333333333333,0.12133333333333333,0.769,1.3
Shawn Marion,80.2,39.14,19.2,10.14,2.2,1.98,1.3,0.46340000000000003,0.34199999999999997,0.8379999999999999,1.7600000000000002
Shawne Williams,47.2,17.84,5.5600000000000005,3.1,0.7,0.4,0.52,0.3976,0.3294,0.7061999999999999,0.64
Shawnelle Scott,24.0,8.6,2.75,3.4000000000000004,0.25,0.15000000000000002,0.25,0.45399999999999996,0.0,0.40449999999999997,0.55
Shayne Whittington,20.0,5.4,2.9,1.5,0.3,0.3,0.1,0.452,0.167,0.783,0.3
Shelden Williams,60.6,13.74,4.36,3.8600000000000003,0.4,0.4,0.4,0.46480000000000005,0.1,0.7416,0.76
Sheldon Mac,30.0,9.6,3.0,1.1,0.5,0.3,0.1,0.4,0.233,0.852,0.2
Shelvin Mack,55.0,16.28,5.9399999999999995,1.7600000000000002,2.8600000000000003,0.5599999999999999,0.02,0.4234,0.3234,0.7368,1.1600000000000001
Sherman Douglas,59.0,18.5,5.7,1.3,2.4,0.6,0.1,0.403,0.2,0.748,1.3
Sherron Collins,20.0,3.3,0.9,0.3,0.4,0.1,0.0,0.28,0.2,1.0,0.2
Sindarius Thornwell,68.5,10.350000000000001,2.45,1.2999999999999998,0.6,0.44999999999999996,0.2,0.388,0.2885,0.7025,0.5
Skal Labissiere,37.0,16.1,6.575,4.2,0.95,0.325,0.6000000000000001,0.51675,0.35525,0.69875,0.925
Slava Medvedenko,60.0,13.0,5.300000000000001,2.85,0.5,0.35,0.15,0.45175,0.0,0.7424999999999999,0.6
Smush Parker,64.5,25.425,8.675,2.35,3.0,1.2,0.17500000000000002,0.40825,0.321,0.7125,1.825
Solomon Hill,58.6,20.3,5.220000000000001,2.9799999999999995,1.34,0.6,0.22000000000000003,0.40659999999999996,0.324,0.8124,0.8400000000000001
Solomon Jones,49.4,10.559999999999999,2.98,2.3,0.36,0.2,0.5199999999999999,0.472,0.1,0.6864,0.56
Sonny Weems,57.0,18.466666666666665,6.3999999999999995,2.1999999999999997,1.4666666666666668,0.4666666666666666,0.13333333333333333,0.447,0.25933333333333336,0.6623333333333333,1.1333333333333333
Soumaila Samake,34.0,6.6,1.4,1.6,0.0,0.1,0.4,0.375,0.0,0.417,0.1
Speedy Claxton,58.0,24.72,9.48,2.52,4.16,1.4,0.14,0.42460000000000003,0.1506,0.768,1.6800000000000002
Spencer Dinwiddie,61.0,24.82,12.32,2.66,4.84,0.6799999999999999,0.3,0.398,0.306,0.8202,1.7200000000000002
Spencer Hawes,67.6,22.98,8.58,5.88,1.7600000000000002,0.4,1.04,0.4694,0.266,0.6534,1.48
Stacey Augmon,67.4,15.959999999999999,4.34,2.2600000000000002,1.1400000000000001,0.6,0.18,0.4272,0.028599999999999997,0.7396,0.74
Stanley Johnson,62.0,18.52,6.1,3.04,1.34,0.8,0.22000000000000003,0.373,0.293,0.7158,1.08
Stephen Curry,67.2,34.52,19.54,4.0200000000000005,6.4799999999999995,1.6199999999999999,0.24,0.4708,0.4422,0.8826,3.1
Stephen Graham,45.0,10.919999999999998,3.9200000000000004,1.6,0.45999999999999996,0.22000000000000003,0.06000000000000001,0.458,0.3122,0.7902,0.62
Stephen Jackson,62.2,26.3,12.14,3.38,2.0,1.3,0.26,0.4124,0.321,0.76,2.02
Stephon Marbury,78.6,39.52,21.7,3.14,8.16,1.3,0.14,0.44299999999999995,0.3174,0.805,3.1
Sterling Brown,54.666666666666664,15.633333333333333,5.166666666666667,3.1,0.9666666666666667,0.5333333333333333,0.13333333333333333,0.412,0.3456666666666666,0.7883333333333334,0.7000000000000001
Steve Blake,70.0,23.28,6.659999999999999,1.9600000000000002,3.8,0.6199999999999999,0.06000000000000001,0.3942,0.3798,0.771,1.3599999999999999
Steve Francis,75.0,40.12,20.080000000000002,6.279999999999999,6.459999999999999,1.58,0.42000000000000004,0.4258,0.333,0.7976,3.7399999999999998
Steve Kerr,65.0,12.166666666666666,3.7999999999999994,0.7666666666666666,0.9666666666666667,0.3,0.0,0.4403333333333333,0.40599999999999997,0.93,0.43333333333333335
Steve Nash,77.4,33.9,16.259999999999998,3.1,8.52,0.9,0.08,0.4814,0.422,0.8987999999999999,2.8
Steve Novak,45.0,8.639999999999999,3.5800000000000005,1.0,0.24,0.12,0.08,0.43900000000000006,0.4206,0.8882,0.12
Steven Adams,77.4,25.580000000000002,8.84,7.0,0.9,0.76,1.0,0.572,0.0,0.567,1.3800000000000001
Steven Hunter,58.0,13.9,4.279999999999999,2.88,0.18,0.16,1.1,0.5488,0.0,0.46399999999999997,0.5599999999999999
Steven Smith,66.4,21.5,8.66,2.04,1.6199999999999999,0.45999999999999996,0.18,0.4232,0.38680000000000003,0.8784000000000001,1.0
Stromile Swift,70.4,21.22,9.18,5.0200000000000005,0.6,0.76,1.46,0.466,0.05,0.7038,1.34
Sundiata Gaines,37.666666666666664,11.066666666666668,4.333333333333333,1.4666666666666668,1.7333333333333334,0.7000000000000001,0.0,0.41300000000000003,0.2823333333333333,0.5383333333333333,0.7999999999999999
Svi Mykhailiuk,49.0,16.55,6.1,1.4,1.4,0.5,0.05,0.3695,0.365,0.707,0.8
T.J. Ford,65.4,29.28,12.059999999999999,3.22,6.4799999999999995,1.22,0.1,0.4314,0.302,0.8282,2.6
T.J. Leaf,46.333333333333336,8.533333333333333,3.266666666666667,2.066666666666667,0.3,0.23333333333333336,0.16666666666666666,0.47700000000000004,0.3216666666666667,0.5586666666666666,0.2333333333333333
T.J. McConnell,77.0,21.32,6.44,2.84,4.7,1.1800000000000002,0.16,0.49420000000000003,0.32199999999999995,0.7714000000000001,1.56
T.J. Warren,52.2,26.76,13.819999999999999,3.88,1.08,0.9400000000000001,0.48,0.5016,0.3106,0.757,0.96
Taj Gibson,74.4,24.06,8.959999999999999,6.12,0.86,0.48,1.34,0.4838,0.025,0.6748000000000001,1.26
Tamar Slay,29.0,7.4,2.5,1.0,0.5,0.35,0.05,0.3645,0.3065,0.6,0.55
Tarence Kinsey,49.0,12.8,4.85,1.4,0.55,0.65,0.0,0.453,0.33599999999999997,0.8320000000000001,0.7
Tarik Black,55.0,14.625,4.65,4.525,0.5,0.375,0.55,0.556,0.14775,0.54625,0.75
Tariq Abdul-Wahad,26.5,16.45,4.699999999999999,2.75,0.9,0.65,0.4,0.3805,0.45,0.655,1.15
Taurean Prince,65.0,25.95,11.35,4.25,1.85,0.9,0.425,0.41075,0.35950000000000004,0.812,1.775
Tayshaun Prince,74.0,30.46,11.34,4.12,2.2,0.62,0.64,0.4636,0.37320000000000003,0.7506,1.1800000000000002
Terance Mann,41.0,8.8,2.4,1.3,1.3,0.3,0.1,0.468,0.35,0.667,0.4
Terence Davis,72.0,16.8,7.5,3.3,1.6,0.5,0.2,0.456,0.388,0.864,1.1
Terence Morris,46.333333333333336,12.666666666666666,3.033333333333333,2.466666666666667,0.5333333333333333,0.26666666666666666,0.3,0.39233333333333337,0.137,0.8096666666666668,0.5333333333333333
Terrance Ferguson,63.666666666666664,20.366666666666667,4.633333333333334,1.3333333333333333,0.7333333333333334,0.4666666666666666,0.2333333333333333,0.3993333333333333,0.3303333333333333,0.7916666666666666,0.4666666666666666
Terrel Harris,21.0,10.7,2.2,1.7999999999999998,0.85,0.25,0.15000000000000002,0.2485,0.1025,0.6835,1.0
Terrell Brandon,55.0,33.150000000000006,14.2,3.3499999999999996,7.9,1.85,0.25,0.438,0.26849999999999996,0.9295,1.65
Terrence Jones,53.25,24.675,10.825,5.875,1.0250000000000001,0.6,1.225,0.498,0.30674999999999997,0.62025,0.975
Terrence Ross,77.4,23.64,9.6,2.6,0.9199999999999999,0.76,0.3,0.42160000000000003,0.36960000000000004,0.7916000000000001,0.82
Terrence Williams,38.25,16.975,6.275,3.025,2.125,0.55,0.1,0.42475,0.316,0.5995,1.375
Terry Porter,76.0,19.45,6.35,2.4,2.95,0.6499999999999999,0.15000000000000002,0.436,0.4195,0.806,1.25
Terry Rozier,67.0,21.619999999999997,9.120000000000001,3.5400000000000005,2.52,0.74,0.16,0.36920000000000003,0.3362,0.8008000000000001,1.04
Thabo Sefolosha,73.4,21.9,5.46,3.7400000000000007,1.52,0.9800000000000001,0.48,0.4382,0.31020000000000003,0.6978,0.9800000000000001
Thaddeus Young,72.2,28.26,12.559999999999999,4.9799999999999995,1.1,1.1199999999999999,0.31999999999999995,0.5104,0.3056,0.7283999999999999,1.3
Thanasis Antetokounmpo,20.0,6.4,2.8,1.2,0.8,0.4,0.1,0.5,0.0,0.412,0.6
Theo Pinson,33.0,11.1,3.6,1.6,1.7,0.5,0.1,0.29,0.188,0.938,1.0
Theo Ratliff,66.8,29.919999999999998,7.74,6.68,0.78,0.52,2.9200000000000004,0.4932,0.0,0.6936,1.48
Theron Smith,26.5,12.15,2.7,2.8,0.6000000000000001,0.25,0.2,0.348,0.375,0.8125,0.75
Thomas Bryant,59.0,22.85,11.85,6.75,1.55,0.4,1.0,0.5985,0.37,0.761,1.0
Thomas Robinson,62.6,13.4,4.92,4.84,0.6,0.5,0.36,0.4758,0.0,0.5032,1.04
Thon Maker,63.75,13.674999999999999,4.625,2.75,0.6,0.35,0.675,0.43975,0.33499999999999996,0.67075,0.55
Tiago Splitter,62.2,19.46,8.120000000000001,5.2,1.22,0.58,0.62,0.5576000000000001,0.0,0.6826,1.1400000000000001
Tierre Brown,58.0,11.95,3.75,1.15,1.9,0.45,0.05,0.391,0.347,0.7685,1.0
Tim Duncan,76.0,37.72,22.72,12.26,3.28,0.78,2.6,0.5034,0.22640000000000002,0.6792,2.7800000000000002
Tim Frazier,52.2,16.86,4.819999999999999,2.16,3.8600000000000003,0.6599999999999999,0.08,0.4046,0.3298,0.7588,1.3
Tim Hardaway,72.5,28.7,12.25,2.2,5.199999999999999,1.0,0.1,0.3785,0.3565,0.7975000000000001,2.05
Tim Hardaway Jr.,67.6,24.9,12.02,2.42,1.72,0.6,0.16,0.42460000000000003,0.343,0.8208,1.04
Tim James,30.0,6.6,1.5,1.2,0.3,0.1,0.2,0.308,0.333,0.857,0.3
Tim Thomas,73.4,28.560000000000002,12.86,4.24,1.58,0.8800000000000001,0.42000000000000004,0.4356,0.3778,0.7828,1.6600000000000001
Timofey Mozgov,58.6,16.6,6.14,4.62,0.5,0.27999999999999997,0.8800000000000001,0.5168,0.1,0.7274,1.1
Timothe Luwawu-Cabarrot,54.5,16.05,6.15,2.05,0.8,0.375,0.125,0.397,0.336,0.81375,0.75
Tobias Harris,60.4,26.639999999999997,12.48,5.5200000000000005,1.4200000000000002,0.7,0.48,0.46420000000000006,0.30579999999999996,0.7986,1.26
Todd Day,31.0,11.0,4.3,1.2,0.9,0.3,0.2,0.373,0.377,0.783,0.8
