G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
32,32,32.2,4.3,9.8,0.446,1.4,4,0.346,3,5.8,0.514,0.516,1.7,2.2,0.757,0.9,2.8,3.7,4.3,2,0.5,2.1,2.4,11.7,Cason Wallace
36,22,24.4,2.6,6,0.433,0.6,2,0.278,2.1,4,0.51,0.479,1.3,1.8,0.712,1.2,2.7,3.9,0.9,1.1,0.5,1,2.9,7.1,Jordan Walsh
28,7,20.6,3,7,0.421,1.5,3.5,0.429,1.5,3.5,0.414,0.528,0.8,1,0.793,0.5,2,2.4,1,0.8,0.2,1.4,1.5,8.3,Dariq Whitehead
26,20,27.3,4.7,9.8,0.478,1.4,4.2,0.343,3.3,5.7,0.578,0.551,1.7,2.5,0.703,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,12.5,Cam Whitmore
104,89,30.6,4.9,11.3,0.434,1.3,4.3,0.316,3.5,7,0.506,0.494,3,4.2,0.732,1.7,6,7.7,2,0.8,0.4,1.8,2,14.2,Jalen Wilson
132,112,31.1,4.8,10.9,0.44,1.3,3.9,0.347,3.4,7,0.491,0.502,3.2,4,0.807,0.9,3.2,4.1,2.2,1,0.4,1.7,1.7,14.1,Isaiah Wong
122,116,32.6,4.8,10.8,0.448,2,5.5,0.373,2.8,5.3,0.526,0.542,1.8,2.5,0.714,1,3.4,4.4,1.6,1,0.5,1.7,1.8,13.5,Ochai Agbaji
39,39,33,6.3,13.2,0.478,1.1,3.3,0.338,5.2,9.8,0.525,0.52,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,Paolo Banchero
32,31,29.6,5,10,0.498,1.2,2.8,0.416,3.8,7.3,0.53,0.556,2.5,3,0.833,0.8,2.8,3.6,2,0.7,0.3,1.7,1.8,13.7,Malaki Branham
101,74,28.5,3.5,7.8,0.449,1.3,3.5,0.378,2.2,4.3,0.508,0.535,1.7,2.3,0.749,1.1,3.9,5,1.8,1,0.5,1.3,1.6,10.1,Christian Braun
34,34,27,3.9,6.6,0.584,0.4,1.2,0.341,3.5,5.4,0.638,0.615,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1,0.4,1.7,2.3,9.7,Kendall Brown
88,81,30.7,5.8,13.5,0.429,1.7,4.9,0.348,4.1,8.6,0.475,0.492,2.8,3.4,0.815,1.6,5.2,6.8,1.4,1.5,1,1.5,1.6,16,Julian Champagnie
34,34,30.8,5.4,11.5,0.464,1.4,3.8,0.383,3.9,7.8,0.504,0.527,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2,13.9,Kennedy Chandler
